id,nome,metacritic,rating,generos,tags,imagem_url
3498,Grand Theft Auto V,92,4.47,Action,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Co-op, Open World, cooperative, First-Person, Third Person, Funny, Sandbox, Comedy, Third-Person Shooter, Moddable, Crime, vr mod",https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg
3328,The Witcher 3: Wild Hunt,92,4.64,"Action, RPG","Singleplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, Third Person, Fantasy, Sandbox, Action RPG, Dark, Nudity, controller support, Choices Matter, Dark Fantasy, Mature, Medieval, Magic, Multiple Endings",https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg
4200,Portal 2,95,4.58,"Shooter, Puzzle","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Co-op, Story Rich, cooperative, First-Person, Sci-fi, FPS, Online Co-Op, Funny, Female Protagonist, Comedy, Local Co-Op, stats, Steam Workshop, Space, Includes level editor, Captions available, Commentary available, Science",https://media.rawg.io/media/games/2ba/2bac0e87cf45e5b508f227d281c9252a.jpg
4291,Counter-Strike: Global Offensive,81,3.57,Shooter,"Steam Achievements, Multiplayer, Full controller support, steam-trading-cards, Co-op, cooperative, First-Person, FPS, Online Co-Op, Tactical, stats, Steam Workshop, PvP, Moddable, War, In-App Purchases, Realistic, Team-Based, Fast-Paced, Military, Competitive, Valve Anti-Cheat enabled, e-sports, Trading",https://media.rawg.io/media/games/736/73619bd336c894d6941d926bfd563946.jpg
5286,Tomb Raider,86,4.06,Action,"Singleplayer, Multiplayer, Full controller support, Atmospheric, RPG, Third Person, Exploration, Classic, Female Protagonist, Stealth, Action-Adventure, Third-Person Shooter, Retro, Cinematic, Quick-Time Events, Dinosaurs, Lara Croft",https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg
13536,Portal,90,4.49,"Action, Puzzle","Singleplayer, Steam Achievements, Atmospheric, Great Soundtrack, Story Rich, First-Person, Sci-fi, Partial Controller Support, FPS, Funny, Classic, Female Protagonist, Comedy, Includes level editor, Captions available, Short, Physics, Dark Humor, Commentary available, Includes Source SDK, Science",https://media.rawg.io/media/games/7fa/7fa0b586293c5861ee32490e953a4996.jpg
12020,Left 4 Dead 2,89,4.1,"Action, Shooter","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Co-op, cooperative, First-Person, Horror, FPS, Online Co-Op, Gore, Survival, Local Co-Op, Tactical, stats, Steam Workshop, Zombies, Moddable, Survival Horror, Post-apocalyptic, Captions available, Replay Value, Team-Based, Valve Anti-Cheat enabled, Commentary available, Includes Source SDK",https://media.rawg.io/media/games/d58/d588947d4286e7b5e0e12e1bea7d9844.jpg
28,Red Dead Redemption 2,96,4.59,Action,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op, Story Rich, Open World, First-Person, Third Person, Partial Controller Support, FPS, Online Co-Op, Gore, Exploration, Sandbox, Violent, Third-Person Shooter, PvP, In-App Purchases, Realistic, Mature, Cinematic, Historical, Crime, Online PvP, 3rd-Person Perspective, Blood, America, Masterpiece, Beautiful, Hunting, Western, 3rd-person",https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg
5679,The Elder Scrolls V: Skyrim,94,4.42,"Action, RPG","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, Open World, First-Person, Third Person, Partial Controller Support, Fantasy, Sandbox, Action RPG, Steam Workshop, role-playing, Moddable, Character Customization, Dark Fantasy, Medieval, Magic, Lore-Rich, Dragons",https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg
13537,Half-Life 2,96,4.48,"Action, Shooter","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, First-Person, Sci-fi, Partial Controller Support, Horror, FPS, Classic, Zombies, Moddable, Captions available, Physics, Aliens, Dystopian, Includes Source SDK, Silent Protagonist, vr mod",https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg
4062,BioShock Infinite,94,4.38,"Action, Shooter","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, First-Person, Sci-fi, FPS, Fantasy, Gore, Controller, Dystopian, Linear, Steampunk, Alternate History, Time Travel, Political",https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg
802,Borderlands 2,89,4.01,"Action, Shooter, RPG","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, RPG, Co-op, Open World, cooperative, Sci-fi, FPS, Online Co-Op, Funny, Comedy, Action RPG, Futuristic, Memes, Stylized, Dark Humor, Loot",https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg
3439,Life is Strange,83,4.12,Adventure,"Singleplayer, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Third Person, Female Protagonist, Dark, Point & Click, Mystery, Choices Matter, Short, Memes, Walking Simulator, Multiple Endings, Story, Episodic, Soundtrack, Time Travel, Time Manipulation, student, strange, photography",https://media.rawg.io/media/games/562/562553814dd54e001a541e4ee83a591c.jpg
4286,BioShock,96,4.36,"Action, Shooter","Singleplayer, Atmospheric, Great Soundtrack, RPG, Story Rich, First-Person, Sci-fi, Partial Controller Support, Horror, FPS, Classic, Action RPG, Dark, Dystopian, Steampunk, Alternate History, Political, Underwater",https://media.rawg.io/media/games/bc0/bc06a29ceac58652b684deefe7d56099.jpg
58175,God of War (2018),94,4.54,Action,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, RPG, Story Rich, Third Person, Fantasy, Gore, Exploration, Violent, Action-Adventure, Action RPG, Hack and Slash, exclusive, 3D, Crafting, combat, true exclusive, 3rd-Person Perspective, Blood, PvE, Emotional, Souls-like, Mythology, Remote Play on TV",https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg
32,Destiny 2,82,3.52,"Action, Shooter","Singleplayer, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, Co-op, Open World, cooperative, First-Person, Sci-fi, FPS, Online Co-Op, Exploration, Free to Play, Online multiplayer, Action-Adventure, PvP, Space, combat, Futuristic, Aliens, Story, 3rd-Person Perspective, online, MMORPG, PvE, Loot, Lore-Rich, city, console, friends, Masterpiece, weapons, skill, destroy, collect, hunt, gun, rain, enemy, quick, darkness, defender",https://media.rawg.io/media/games/34b/34b1f1850a1c06fd971bc6ab3ac0ce0e.jpg
3070,Fallout 4,84,3.81,"Action, RPG","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, First-Person, Third Person, Sci-fi, FPS, Exploration, Sandbox, Survival, Action RPG, Third-Person Shooter, Post-apocalyptic",https://media.rawg.io/media/games/d82/d82990b9c67ba0d2d09d4e6fa88885a7.jpg
1030,Limbo,88,4.14,"Action, Adventure, Indie, Puzzle, Platformer","Singleplayer, Full controller support, Atmospheric, 2D, Horror, Difficult, Action-Adventure, Pixel Graphics, Controller, Dark, controller support, Short, Dark Fantasy, Cinematic, Physics, combat, Side Scroller, Linear, Surreal, Puzzle-Platformer, Family Sharing, Minimalist, Noir, 2D Fighter, 2D Platformer, 2D-платформер, 2D-файтинг",https://media.rawg.io/media/games/942/9424d6bb763dc38d9378b488603c87fa.jpg
3939,PAYDAY 2,79,3.52,"Action, Shooter","Singleplayer, Steam Achievements, Multiplayer, Full controller support, steam-trading-cards, Great Soundtrack, Co-op, cooperative, First-Person, FPS, Online Co-Op, Funny, Stealth, Tactical, In-App Purchases, Team-Based, Crime, PvE, Heist, Gun Customization",https://media.rawg.io/media/games/73e/73eecb8909e0c39fb246f457b5d6cbbe.jpg
